Cities,Tree Cover,Method/Source
Atlanta,47.9,https://en.wikipedia.org/wiki/Atlanta_tree_canopy
Austin,30.8,https://www.itreetools.org/resources/reports/Austins_Urban_Forest_report.pdf
Boston,29,https://www.bostonglobe.com/magazine/2017/11/07/boston-trees-need-your-help/KPYs9yD94SYTX1hFo5vRuJ/story.html
Dallas,30,https://www.greensourcedfw.org/articles/texas-trees-foundation-reveals-state-dallas-urban-forest
Average,27,https://www.cwp.org/urban-tree-canopy/
Seattle,25,https://www.seattle.gov/trees/canopycover.htm
NYC,24,We did it
Baltimore,21,"https://www.baltimoresun.com/news/maryland/environment/bs-md-baltimore-tree-canopy-20170922-story.html
"
LA,18,https://la.curbed.com/2018/6/6/17394448/los-angeles-trees-removal-climate
Philadelphia,15.7,https://technical.ly/philly/2011/05/17/phillytreemap-org-crowdsourced-census-of-philadelphias-tree-canopy/
SF,12,https://sf-planning.org/urban-forest-plan
Jersey,11.5,www.gicinc.org/PDFs/Jersey_City_Report.pdf
Chicago,11,"https://www.fs.fed.us/nrs/pubs/rb/rb_nrs84.pdf

"
